   2890 
    117 IPR000742	EGF-like domain
      1 IPR042236	Phosphoinositide 3-kinase, accessory (PIK) domain superfamily
      1 IPR042231	Choline/Carnitine o-acyltransferase, domain 2
      1 IPR042219	Dynein heavy chain AAA lid domain superfamily
      1 IPR041681	Pleckstrin homology domain 9
      1 IPR041677	DNA2/NAM7 helicase, helicase domain
      1 IPR041658	Dynein heavy chain AAA lid domain
      1 IPR041589	Dynein heavy chain 3, AAA+ lid domain
      1 IPR041562	MCM, AAA-lid domain
      1 IPR041492	Haloacid dehalogenase-like hydrolase
      1 IPR041476	TRAF3-interacting protein 1, C-terminal domain
      1 IPR041373	Reverse transcriptase, RNase H-like domain
      1 IPR041269	Sulfhydryl oxidase, Trx-like domain
      1 IPR041228	Dynein heavy chain, C-terminal domain
      1 IPR041174	Krr1, KH1 domain
      1 IPR041048	RuvB-like, AAA-lid domain
      1 IPR041020	ARHGEF1-like, PH domain
      1 IPR040930	AF-9, ANC1 homology domain
      1 IPR040911	Exostosin, GT47 domain
      1 IPR040892	RPN1, N-terminal
      1 IPR040844	Phosphodiesterase 4 upstream conserved regions (UCR)
      1 IPR040505	Family of unknown function DUF5537
      1 IPR040362	RAB11-binding protein RELCH
      1 IPR040213	GIR2-like
      1 IPR040177	Zinc transporter 9
      1 IPR040079	Glutathione Transferase family
      1 IPR040055	28S ribosomal protein S10, mitochondrial
      1 IPR040054	28S ribosomal protein S18b, mitochondrial
      1 IPR040049	28S ribosomal protein S25, mitochondrial
      1 IPR040017	Exportin-T
      1 IPR039918	Serine/threonine-protein phosphatase 4 regulatory subunit 4
      1 IPR039912	Pre-rRNA-processing protein PNO1-like
      1 IPR039766	Vacuolar protein sorting-associated protein 53
      1 IPR039757	Eukaryotic translation initiation factor 2D
      1 IPR039727	SERRATE/Ars2
      1 IPR039726	Pre-mRNA-processing factor Prp40
      1 IPR039707	Macrophage-expressed gene 1 protein
      1 IPR039676	Acyloxyacyl hydrolase
      1 IPR039670	Sterol transport protein NPC2-like
      1 IPR039653	Prenyltransferase
      1 IPR039630	Protein FAM149
      1 IPR039484	Alpha-1,2-mannosyltransferase ALG9-like
      1 IPR039417	Papain-like cysteine endopeptidase
      1 IPR039283	Motile sperm domain-containing protein 1
      1 IPR039263	GTP-binding protein 1
      1 IPR039253	Aprataxin and PNK-like factor
      1 IPR039250	CREBL2/REPTOR-BP
      1 IPR039241	Ribosomal RNA-processing protein Rrp9-like
      1 IPR039181	EIG121-like
      1 IPR039165	CREB3 regulatory factor
      1 IPR039156	UPF0183/Protein broad-minded
      1 IPR039151	Protein inturned
      1 IPR039038	Aspartyl/asparaginyl beta-hydroxylase family
      1 IPR039030	Calmodulin
      1 IPR039006	Rho GTPase-activating protein, pG2 domain
      1 IPR038884	Cilia- and flagella-associated protein 61
      1 IPR038775	Testis-expressed protein 49
      1 IPR038746	Alpha-tubulin N-acetyltransferase
      1 IPR038737	Splicing factor 3B subunit 1-like
      1 IPR038662	F1F0 ATP synthase subunit C superfamily
      1 IPR038489	Suppressor of fused, C-terminal domain superfamily
      1 IPR038377	Sodium/glucose symporter superfamily
      1 IPR038348	SLED domain superfamily
      1 IPR038324	Rpb4/RPC9 superfamily
      1 IPR038322	Pex19, C-terminal domain superfamily
      1 IPR038286	Inositol polyphosphate kinase superfamily
      1 IPR038227	PCGF Ub-like fold discriminator superfamily
      1 IPR038187	NAC A/B domain superfamily
      1 IPR038185	MyTH4 domain superfamily
      1 IPR038095	Costars domain superfamily
      1 IPR038077	Troponin domain superfamily
      1 IPR037942	RuvB-like helicase 2
      1 IPR037871	Phafin, PH domain
      1 IPR037769	Abr/Bcr
      1 IPR037626	Nucleoporin Nup37
      1 IPR037571	Mannan-binding lectin-associated serine peptidase 2
      1 IPR037364	Protein transport protein Sec23
      1 IPR037359	Heparan sulfate sulfotransferase
      1 IPR037282	F-actin-capping protein subunit alpha/beta
      1 IPR037272	Sodium:neurotransmitter symporter superfamily
      1 IPR037192	ERO1-like superfamily
      1 IPR037069	Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily
      1 IPR037022	Formyl transferase, C-terminal domain superfamily
      1 IPR036990	Metallocarboxypeptidase-like, propeptide
      1 IPR036987	SRA-YDG superfamily
      1 IPR036971	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily
      1 IPR036939	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain superfamily
      1 IPR036645	Elafin-like superfamily
      1 IPR036529	Coactivator CBP, KIX domain superfamily
      1 IPR036514	SGNH hydrolase superfamily
      1 IPR036513	STAS domain superfamily
      1 IPR036412	HAD-like superfamily
      1 IPR036352	Sema domain superfamily
      1 IPR036219	Translation elongation factor eEF-1beta-like superfamily
      1 IPR036168	AP-2 complex subunit mu, C-terminal superfamily
      1 IPR036163	Heavy metal-associated domain superfamily
      1 IPR036161	RPB6/omega subunit-like superfamily
      1 IPR036150	Cytochrome b/b6, C-terminal domain superfamily
      1 IPR036085	PAZ domain superfamily
      1 IPR035996	Tetrapyrrole methylase superfamily
      1 IPR035976	Sushi/SCR/CCP superfamily
      1 IPR035973	Cytochrome c oxidase subunit III-like superfamily
      1 IPR035969	Rab-GTPase-TBC domain superfamily
      1 IPR035963	FERM superfamily, second domain
      1 IPR035921	F/V-ATP synthase subunit C superfamily
      1 IPR035655	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
      1 IPR035647	EF-G domain III/V-like
      1 IPR035140	Proteasome subunit beta 6
      1 IPR034893	Serine/arginine-rich splicing factor 2-like
      1 IPR034648	CELF-3/4/5/6, RNA recognition motif 1
      1 IPR034148	NCBP2, RNA recognition motif
      1 IPR034085	TOG domain
      1 IPR034078	Transcription factor NFX1 family
      1 IPR033916	Npc2 like, ML domain
      1 IPR033901	DNA-directed RNA polymerases I and III subunit AC40
      1 IPR033773	CBX family C-terminal motif
      1 IPR033720	Elongation factor Tu, domain 2
      1 IPR033690	Adenylate kinase, conserved site
      1 IPR033509	E3 ubiquitin-protein ligase RNF146
      1 IPR033508	Aminopeptidase A
      1 IPR033490	Leucine-rich PPR motif-containing protein
      1 IPR033443	Pentacotripeptide-repeat region of PRORP
      1 IPR033248	Transketolase, C-terminal domain
      1 IPR033111	APOBEC1 complementation factor
      1 IPR033085	Protein ERGIC-53
      1 IPR032922	Protein SON
      1 IPR032781	ABC-transporter extension domain
      1 IPR032678	tRNA synthetases class I, catalytic domain
      1 IPR032443	RAWUL domain
      1 IPR032365	BCL-6 corepressor, PCGF1 binding domain
      1 IPR032106	2-oxoglutarate dehydrogenase E1 component, N-terminal domain
      1 IPR031963	Histone deacetylase complex subunit SAP130, C-terminal domain
      1 IPR031657	Replication protein A, OB domain
      1 IPR031642	VPS13, repeated coiled region
      1 IPR031327	Mini-chromosome maintenance protein
      1 IPR031318	OPI10 family
      1 IPR031253	Homeobox protein unplugged
      1 IPR031226	Probable ubiquitin carboxyl-terminal hydrolase FAF-X
      1 IPR031180	Glypican-4
      1 IPR031160	F-BAR domain
      1 IPR031121	KH domain containing protein RIK/BLOM7
      1 IPR030739	Rap guanine nucleotide exchange factor 2
      1 IPR030555	Huntingtin-interacting protein 1-related protein
      1 IPR030539	Synaptotagmin-15
      1 IPR030511	Tetratricopeptide repeat protein 26
      1 IPR030398	DG-type SEA domain
      1 IPR030374	Polyamine biosynthesis  domain
      1 IPR030373	Polyamine biosynthesis domain, conserved site
      1 IPR030365	ATP-binding cassette subfamily A member 1
      1 IPR030320	Plasma membrane calcium-transporting ATPase 1
      1 IPR030227	Protein Nucling
      1 IPR030224	Sla2 family
      1 IPR029928	EH domain-binding protein 1-like protein 1
      1 IPR029557	Serine incorporator 1/3
      1 IPR029523	INO80 complex, subunit Ies2
      1 IPR029446	Coatomer beta subunit, appendage platform domain
      1 IPR029130	Acid ceramidase, N-terminal
      1 IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
      1 IPR029053	Viral coat protein subunit
      1 IPR029045	ClpP/crotonase-like domain superfamily
      1 IPR029041	FAD-linked oxidoreductase-like
      1 IPR029020	Ammonium/urea transporter
      1 IPR028923	SAICAR synthetase/ADE2, N-terminal
      1 IPR028920	Tox-ART-HYD1 domain
      1 IPR028883	tRNA-specific adenosine deaminase
      1 IPR028689	Synaptotagmin-5
      1 IPR028651	ING family
      1 IPR028643	Inhibitor of growth protein 1
      1 IPR028587	Adenylate kinase 2
      1 IPR028570	Rho GDP/GTP exchange factor Kalirin/TRIO
      1 IPR028363	DNA-directed RNA polymerase, subunit  RPB6
      1 IPR028361	GPI-anchor transamidase
      1 IPR028288	SCAR/WAVE family
      1 IPR027873	Protein PAXX
      1 IPR027673	Exostosin-2
      1 IPR027640	Kinesin-like protein
      1 IPR027443	Isopenicillin N synthase-like
      1 IPR027413	GroEL-like equatorial domain superfamily
      1 IPR027410	TCP-1-like chaperonin intermediate domain superfamily
      1 IPR027357	DHR-2 domain
      1 IPR027238	RuvB-like
      1 IPR027231	Semaphorin
      1 IPR027159	Nuclear cap-binding protein subunit 1
      1 IPR027157	Nuclear cap-binding protein subunit 2
      1 IPR027110	Pyruvate dehydrogenase E1 component subunit beta
      1 IPR027109	SWR1-complex protein 4/DNA methyltransferase 1-associated protein 1
      1 IPR027059	Coatomer delta subunit
      1 IPR027005	Glycosyltransferase 39-like
      1 IPR026919	Adhesion G-protein coupled receptor V1
      1 IPR026854	Vacuolar protein sorting-associated protein 13-like, N-terminal domain
      1 IPR026791	Dedicator of cytokinesis
      1 IPR026739	AP complex subunit beta
      1 IPR026736	Protein virilizer
      1 IPR026669	Arsenite methyltransferase-like
      1 IPR026637	YIP1 family member 3
      1 IPR026611	Serine/threonine-protein kinase MRCK alpha
      1 IPR026122	Helicase MOV-10
      1 IPR026111	Actin-binding Rho-activating protein
      1 IPR026082	ABC transporter A
      1 IPR025995	RNA binding activity-knot of a chromodomain
      1 IPR025755	60S ribosomal protein L4, C-terminal domain
      1 IPR025661	Cysteine peptidase, asparagine active site
      1 IPR025660	Cysteine peptidase, histidine active site
      1 IPR025252	Domain of unknown function DUF4200
      1 IPR025202	Phospholipase D-like domain
      1 IPR024945	Spt5 C-terminal domain
      1 IPR024940	Transcription factor TCF/LEF
      1 IPR024936	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
      1 IPR024909	Cysteinyl-tRNA synthetase/mycothiol ligase
      1 IPR024862	Transient receptor potential cation channel subfamily V
      1 IPR024791	Cytochrome c oxidase subunit III
      1 IPR024732	Alpha-N-acetylglucosaminidase, C-terminal
      1 IPR024610	Inhibitor of growth protein, N-terminal histone-binding
      1 IPR024603	COG complex component, COG2, C-terminal
      1 IPR024571	ERAP1-like C-terminal domain
      1 IPR024314	Suppressor of fused C-terminal
      1 IPR024137	Histone deacetylase complex subunit SAP130
      1 IPR024114	Islet cell autoantigen 1/Ica1-like
      1 IPR024111	Peroxisomal targeting signal 1 receptor family
      1 IPR024041	Ammonium transporter AmtB-like domain
      1 IPR024034	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal
      1 IPR023780	Chromo domain
      1 IPR023561	Carbonic anhydrase, alpha-class
      1 IPR023419	Transthyretin, conserved site
      1 IPR023418	Transthyretin, thyroxine binding site
      1 IPR023415	Low-density lipoprotein (LDL) receptor class A, conserved site
      1 IPR023346	Lysozyme-like domain superfamily
      1 IPR023333	Proteasome B-type subunit
      1 IPR023313	Ubiquitin-conjugating enzyme, active site
      1 IPR023298	P-type ATPase, transmembrane domain superfamily
      1 IPR023214	HAD superfamily
      1 IPR023029	Ribosomal protein S15P
      1 IPR022967	RNA-binding domain, S1
      1 IPR022878	V-type ATP synthase catalytic alpha chain
      1 IPR022557	Domain of unknown function DUF3480
      1 IPR022194	Protein of unknown function DUF3719
      1 IPR021990	Mediator complex, subunit Med12, LCEWAV-domain
      1 IPR021987	SLED domain
      1 IPR020904	Short-chain dehydrogenase/reductase, conserved site
      1 IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site
      1 IPR020849	Small GTPase superfamily, Ras-type
      1 IPR020846	Major facilitator superfamily domain
      1 IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain
      1 IPR020717	Apoptosis regulator, Bcl-2, BH1 motif, conserved site
      1 IPR020708	DNA-directed RNA polymerase, 14-18kDa subunit, conserved site
      1 IPR020604	CTF transcription factor/nuclear factor 1, DNA-binding domain
      1 IPR020550	Inositol monophosphatase, conserved site
      1 IPR020537	ATP synthase, F0 complex, subunit C, DCCD-binding site
      1 IPR020396	NADH:ubiquinone oxidoreductase, 30kDa subunit, conserved site
      1 IPR020003	ATPase, alpha/beta subunit, nucleotide-binding domain, active site
      1 IPR019741	Galactokinase, conserved site
      1 IPR019691	Protein of unknown function DUF2585
      1 IPR019561	Translocon Sec61/SecY, plug domain
      1 IPR019539	Galactokinase, N-terminal  domain
      1 IPR019474	Ubiquitin conjugation factor E4, core
      1 IPR019087	Mediator of RNA polymerase II transcription subunit 15
      1 IPR019038	DNA polymerase delta subunit 3
      1 IPR018957	Zinc finger, C3HC4 RING-type
      1 IPR018799	TRAF3-interacting protein 1
      1 IPR018626	Protein LCHN/Anr2
      1 IPR018501	DDT domain
      1 IPR018499	Tetraspanin/Peripherin
      1 IPR018497	Peptidase M13, C-terminal domain
      1 IPR018358	Disintegrin, conserved site
      1 IPR018338	Carbonic anhydrase, alpha-class, conserved site
      1 IPR018236	SAICAR synthetase, conserved site
      1 IPR018212	Sodium/solute symporter, conserved site
      1 IPR018200	Ubiquitin specific protease, conserved site
      1 IPR018170	Aldo/keto reductase, conserved site
      1 IPR018159	Spectrin/alpha-actinin
      1 IPR018047	Ammonium transporter, conserved site
      1 IPR017983	GPCR, family 2, secretin-like, conserved site
      1 IPR017969	Heavy-metal-associated, conserved site
      1 IPR017853	Glycoside hydrolase superfamily
      1 IPR017448	SRCR-like domain
      1 IPR016643	26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit
      1 IPR016460	Coatomer beta subunit (COPB1)
      1 IPR016193	Cytidine deaminase-like
      1 IPR016159	Cullin repeat-like-containing domain superfamily
      1 IPR016157	Cullin, conserved site
      1 IPR016050	Proteasome beta-type subunit, conserved site
      1 IPR015789	Twist-related
      1 IPR015727	Protein kinase C mu-related
      1 IPR015659	Proline oxidase family
      1 IPR015655	Protein phosphatase 2C family
      1 IPR015505	Coronin
      1 IPR015482	Syntrophin
      1 IPR015403	Sec7, C-terminal
      1 IPR015255	Vitellinogen, open beta-sheet
      1 IPR015174	MIF4G-like, type 2
      1 IPR015016	Splicing factor 3B subunit 1
      1 IPR015009	Vinculin-binding site-containing domain
      1 IPR014872	Dicistrovirus, capsid-polyprotein, C-terminal
      1 IPR014840	Hpc2-related domain
      1 IPR014777	Tetrapyrrole methylase, subdomain 1
      1 IPR014717	Translation elongation factor EF1B/ribosomal protein S6
      1 IPR014709	Glutathione synthase, C-terminal, eukaryotic
      1 IPR014371	Sterol O-acyltransferase, ACAT/DAG/ARE types
      1 IPR014352	FERM/acyl-CoA-binding protein superfamily
      1 IPR014306	Hydroxyisourate hydrolase
      1 IPR014042	Glutathione synthase, alpha-helical
      1 IPR014014	RNA helicase, DEAD-box type, Q motif
      1 IPR013979	Translation initiation factor, beta propellor-like domain
      1 IPR013957	U4/U6.U5 small nuclear ribonucleoprotein 27kDa protein
      1 IPR013833	Cytochrome c oxidase, subunit III, 4-helical bundle
      1 IPR013818	Lipase/vitellogenin
      1 IPR013786	Acyl-CoA dehydrogenase/oxidase, N-terminal
      1 IPR013762	Integrase-like, catalytic domain superfamily
      1 IPR013233	Glycosylphosphatidylinositol-mannosyltransferase I, PIG-X/PBN1
      1 IPR013130	Ferric reductase transmembrane component-like domain
      1 IPR013120	Fatty acyl-coenzyme A reductase, NAD-binding domain
      1 IPR013105	Tetratricopeptide repeat 2
      1 IPR013088	Zinc finger, NHR/GATA-type
      1 IPR013057	Amino acid transporter, transmembrane domain
      1 IPR013041	Clathrin adaptor, appendage, Ig-like subdomain superfamily
      1 IPR013000	Ribosomal protein L4/L1e, eukaryotic/archaeal, conserved site
      1 IPR012990	Sec23/Sec24 beta-sandwich
      1 IPR012716	T-complex protein 1, beta subunit
      1 IPR012337	Ribonuclease H-like superfamily
      1 IPR012295	TBP domain superfamily
      1 IPR012293	RNA polymerase subunit, RPB6/omega
      1 IPR012292	Globin/Protoglobin
      1 IPR012227	TNF receptor-associated factor TRAF, metazoa
      1 IPR011765	Peptidase M16, N-terminal
      1 IPR011761	ATP-grasp fold
      1 IPR011704	ATPase, dynein-related, AAA domain
      1 IPR011547	SLC26A/SulP transporter domain
      1 IPR011387	Translation initiation factor 2A
      1 IPR011333	SKP1/BTB/POZ domain superfamily
      1 IPR011146	HIT-like domain
      1 IPR011044	Quinoprotein amine dehydrogenase, beta chain-like
      1 IPR011034	Formyl transferase-like, C-terminal domain superfamily
      1 IPR011010	DNA breaking-rejoining enzyme, catalytic core
      1 IPR010997	HRDC-like superfamily
      1 IPR010987	Glutathione S-transferase, C-terminal-like
      1 IPR010703	Dedicator of cytokinesis, C-terminal
      1 IPR010069	Filamentous haemagglutinin, 20-residue x2 repeat
      1 IPR009535	Phospholipase C-beta, conserved site
      1 IPR009401	Mediator complex subunit Med13, C-terminal
      1 IPR009316	COG complex component, COG2
      1 IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily
      1 IPR009071	High mobility group box domain
      1 IPR009068	S15/NS1, RNA-binding
      1 IPR009050	Globin-like superfamily
      1 IPR009028	Coatomer/calthrin adaptor appendage, C-terminal subdomain
      1 IPR009011	Mannose-6-phosphate receptor binding domain superfamily
      1 IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain
      1 IPR008984	SMAD/FHA domain superfamily
      1 IPR008979	Galactose-binding-like domain superfamily
      1 IPR008977	PHM/PNGase F domain superfamily
      1 IPR008962	PapD-like superfamily
      1 IPR008775	Phytanoyl-CoA dioxygenase
      1 IPR008493	Domain of unknown function DUF775
      1 IPR008465	Dystroglycan, C-terminal
      1 IPR008050	DNA replication licensing factor Mcm7
      1 IPR007863	Peptidase M16, C-terminal
      1 IPR007862	Adenylate kinase, active site lid domain
      1 IPR007858	Dpy-30 motif
      1 IPR007781	Alpha-N-acetylglucosaminidase
      1 IPR007768	Suppressor of fused
      1 IPR007529	Zinc finger, HIT-type
      1 IPR007234	Vps53-like, N-terminal
      1 IPR007123	Gelsolin-like domain
      1 IPR007081	RNA polymerase Rpb1, domain 5
      1 IPR007075	RNA polymerase Rpb1, domain 6
      1 IPR007042	SERRATE/Ars2 , C-terminal
      1 IPR006933	HAP1, N-terminal
      1 IPR006759	Glycosyl transferase family 54
      1 IPR006694	Fatty acid hydroxylase
      1 IPR006602	Uncharacterised domain DM10
      1 IPR006590	RNA polymerase Rpb4/RPC9, core
      1 IPR006561	DZF domain
      1 IPR006535	HnRNP R/Q splicing factor
      1 IPR006259	Adenylate kinase subfamily
      1 IPR006089	Acyl-CoA dehydrogenase, conserved site
      1 IPR006077	Vinculin/alpha-catenin
      1 IPR006068	Cation-transporting P-type ATPase, C-terminal
      1 IPR006020	PTB/PI domain
      1 IPR005821	Ion transport domain
      1 IPR005804	Fatty acid desaturase domain
      1 IPR005793	Formyl transferase, C-terminal
      1 IPR005599	GPI mannosyltransferase
      1 IPR005574	RNA polymerase subunit RPB4/RPC9
      1 IPR005517	Translation elongation factor EFG/EF2, domain IV
      1 IPR005123	Oxoglutarate/iron-dependent dioxygenase
      1 IPR005052	Legume-like lectin
      1 IPR005046	Protein of unknown function DUF285
      1 IPR004887	Glutathione synthase, substrate-binding domain
      1 IPR004531	Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic
      1 IPR004273	Dynein heavy chain region D6 P-loop domain
      1 IPR004263	Exostosin-like
      1 IPR004245	Protein of unknown function DUF229
      1 IPR004046	Glutathione S-transferase, C-terminal
      1 IPR003903	Ubiquitin interacting motif
      1 IPR003806	ATP-grasp fold, PylC-type
      1 IPR003578	Small GTPase Rho
      1 IPR003392	Protein patched/dispatched
      1 IPR003342	Glycosyl transferase family 39/83
      1 IPR003164	Clathrin adaptor, alpha-adaptin, appendage, C-terminal subdomain
      1 IPR003146	Carboxypeptidase, activation peptide
      1 IPR003029	S1 domain
      1 IPR002872	Proline dehydrogenase domain
      1 IPR002816	TraB family
      1 IPR002713	FF domain
      1 IPR002645	STAS domain
      1 IPR002423	Chaperonin Cpn60/TCP-1 family
      1 IPR002379	V-ATPase proteolipid subunit C-like domain
      1 IPR002227	Tyrosinase copper-binding domain
      1 IPR002136	Ribosomal protein L4/L1e
      1 IPR002125	Cytidine and deoxycytidylate deaminase domain
      1 IPR002104	Integrase, catalytic domain
      1 IPR001753	Enoyl-CoA hydratase/isomerase
      1 IPR001648	Ribosomal protein S18
      1 IPR001514	DNA-directed RNA polymerase, 30-40kDa subunit, conserved site
      1 IPR001494	Importin-beta, N-terminal domain
      1 IPR001466	Beta-lactamase-related
      1 IPR001433	Oxidoreductase FAD/NAD(P)-binding
      1 IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site
      1 IPR001353	Proteasome, subunit alpha/beta
      1 IPR001303	Class II aldolase/adducin N-terminal
      1 IPR001268	NADH:ubiquinone oxidoreductase, 30kDa subunit
      1 IPR001096	Peptidase C13, legumain
      1 IPR000994	Peptidase M24
      1 IPR000945	Dopamine beta-hydroxylase-like
      1 IPR000878	Tetrapyrrole methylase
      1 IPR000801	Putative esterase
      1 IPR000749	ATP:guanido phosphotransferase
      1 IPR000648	Oxysterol-binding protein
      1 IPR000647	CTF transcription factor/nuclear factor 1
      1 IPR000629	ATP-dependent RNA helicase DEAD-box, conserved site
      1 IPR000571	Zinc finger, CCCH-type
      1 IPR000535	Major sperm protein (MSP) domain
      1 IPR000477	Reverse transcriptase domain
      1 IPR000403	Phosphatidylinositol 3-/4-kinase, catalytic domain
      1 IPR000333	Ser/Thr protein kinase, TGFB receptor
      1 IPR000323	Copper type II, ascorbate-dependent monooxygenase, N-terminal
      1 IPR000312	Glycosyl transferase, family 3
      1 IPR000210	BTB/POZ domain
      1 IPR000194	ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain
      1 IPR000169	Cysteine peptidase, cysteine active site
      1 IPR000101	Gamma-glutamyltranspeptidase
      1 IPR000073	Alpha/beta hydrolase fold-1
      1 IPR000053	Thymidine/pyrimidine-nucleoside phosphorylase
